company_name,"No Retail Banking? 1 = No, 0 = Yes, Blank = Unknown",b-impact,GABV,country,website,twitter,description,Mission,History,Structure,Market Focus,overall_score,impact_area_environment,state,city,sector_2,size,industry,industry_category,products_and_services,sector
Spring Bank,,1,,United States,www.springbankny.com,https://twitter.com/springbankny,"Spring Bank is an FDIC insured community bank headquartered in the Bronx, New York. In 2007, the bank opened in the South Bronx, the only bank to establish its base in this New York borough in over 30 years. The bank opened its second branch in Harlem in 2012. Spring Bank has been designated by the US Treasury as a Community Development Financial Institution (CDFI), in recognition of the investments and loans the bank makes in low and moderate income communities in New York City. Spring Bank is also a preferred lender with the US Small Business Administration (SBA).
 
 Spring BankÕs mission is to pursue a double bottom line of providing returns to its shareholders and serving the needs of underserved consumers and small businesses in the New York City area. In neighborhoods where the use of high-cost fringe financial products is more the norm than the exception, the bank has created innovative depository and loan products designed to help unbanked and underbanked consumers avoid getting trapped in cycles of debt and build wealth. In addition the bank attempts to serve the needs of the small businesses that create wealth and jobs for residents of the New York City area.",,,,,136.2,5.2,New York,Bronx,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,"Loans, deposits",Service with Minor Environmental Footprint
Sunrise Banks,,1,1,United States,www.sunrisebanks.com,https://twitter.com/SunriseBanks,"Sunrise Banks, based in St. Paul, Minnesota, seeks to radically change the way urban communities and people thrive by empowering them to achieve financial wellness. Sunrise is certified by the U.S. Treasury as a Community Development Financial Institution (CDFI), a designation earned by approximately 100 banks nationwide. 
Sunrise Banks uses a do good approach to their business model. The organization creates both people and place based products that make a difference in communities. Sunrise Banks is more than a bank; they create strong relationships and look for multiple ways to make an impact. It's quite simple: believe in the power of business as a force for good and your impact will be multiplied. 
Sunrise Banks's mission focused approach, national charter, and innovative spirit, have catapulted the organization onto national platforms. Their lending is local, but their community development scope is national.",,,,,144.2,7.5,Minnesota,St. Paul,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Banking,Service with Minor Environmental Footprint
Teachers Mutual Bank,,,1,Australia,https://www.tmbank.com.au,https://twitter.com/tmbankau?lang=en,,,,,,,,,,,,,,,
Triodos,,,1,Germany,https://www.triodos.de/,https://twitter.com/triodosde,,,,,,,,,,,,,,,
Triodos,,,1,Spain,https://www.triodos.es/es,https://twitter.com/triodoses,,,,,,,,,,,,,,,
Triodos Bank N.V.,,1,1,Netherlands,www.triodos.com,https://twitter.com/TriodosNL,Triodos Bank helps to create a society that promotes people’s quality of life and that has human dignity at its core. They offer a full set of banking services. They connect savers and investors who want to change the world for the better with entrepreneurs and sustainable companies.,,,,,136.4,31,Utrecht,Zeist,Service with Minor Environmental Footprint,1000+,Credit Provider,Financial Services,Financial services for clients who want to change the world for the better.,Service with Minor Environmental Footprint
Triodos,,,1,United Kingdom,https://www.triodos.co.uk/,https://twitter.com/triodosuk,,,,,,,,,,,,,,,
Umweltbank,,,1,Germany,https://www.umweltbank.de/,https://twitter.com/UmweltBank,,,,,,,,,,,,,,,
Bank Australia,,1,1,Australia,www.bankaust.com.au,None,"Bank Australia is the bank for people who believe in a fair and just world. We work with our customers to use their money as a force for good. Bank Australia is the first customer owned bank in Australia and has been operating since 1957. This means they answer to their customers, not external shareholders.

Bank Australia provides everyday banking services and loans to individuals as well as loans to purpose-driven companies and organisations to help them have a positive impact on people and the planet. The bank’s lending is guided by its Responsible Banking Policy, which commits it to never lend to industries that do harm, like fossil fuels, live animal exports or arms/weapons. Instead, they seek to lend to those having a positive impact, such as individual customers, community renewable energy, and community and disability housing. 

The Bank Australia Impact Fund donates 4% of after tax profits to projects supporting people and the planet, including their annual Community Customer Grants. 

Bank Australia is committed to action on climate change, including their world-first Conservation Reserve, being carbon neutral since 2011 and running on 100% renewable electricity since 2019. 

Bank Australia is a member of the Global Alliance for Banking on Values.",,,,,104.2,14.7,VIC,Kew,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Bank Australia provides personal and business banking services and loans.,Service with Minor Environmental Footprint
AWA Alliance Bank,,1,,Australia,www.awaalliancebank.com.au,None,"AWA Alliance Bank is a not-about-profit business as their Members are also their owners, which allows them to channel their profits back to their Members by providing lower loan interest rates and competitive rates on deposits.

Because AWA is Member owned, they focus on providing friendly, personal customer service and building real relationships with their Members and give back to the communities they live in through their community based programs and strategic partnerships.",,,,,113.2,4,VIC,Geelong,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,Financial Services that cover all of your banking needs.,Service with Minor Environmental Footprint
Banque Raiffeisen Région Genève Rhône,,1,,Switzerland,www.raiffeisen.ch/region-geneve-rhone/de/ueber-uns/raiffeisen-englisch.html,None,"The Raiffeisen Group is the leading Swiss retail bank. The third largest bank in the Swiss banking sector has 1.9 million cooperative members and 3.8 million clients. The Raiffeisen Group is represented at 896 locations throughout Switzerland. The 246 legally autonomous Raiffeisen cooperative banks are amalgamated into the Raiffeisen Switzerland Cooperative, which is the strategic leader of the entire Raiffeisen Group. Raiffeisen offers private individuals and companies a wide range of products and services through Group companies, joint ventures and enterprises in which it holds an equity investment. As of 30 June 2018, the Raiffeisen Group had CHF 211 billion in assets under management and CHF 185 billion in loans to clients. The market share is 17.6 % in the mortgage business. Total assets amount to CHF 229 billion.",,,,,114.4,6.8,Romandie,Bernex,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,Raiffeisen: third-largest banking group in Switzerland,Service with Minor Environmental Footprint
BDCU Alliance Bank,,1,,Australia,www.bdcualliancebank.com.au,None,"A mutually owned organisation that seeks to make its community better tomorrow than it is today. Through the concept of Shared Value it invests in the community and its members to achieve a result for mutual benefit.
 
BDCU Alliance Bank seeks a continuous monitoring and improvement in the measured outputs across the organisation.",,,,,100.1,4,New South Wales,Bowral,Service with Minor Environmental Footprint,10-49,Other,Financial Services,Social Enterprise offering Banking services,Service with Minor Environmental Footprint
Beyond Bank Australia,,1,,Australia,www.beyondbank.com.au,None,"Beyond Bank Australia is one of Australia’s largest customer owned banks, with assets under management over $6 billion, 245,000 customers & 650 staff. They provide personal and business banking services along with financial planning and work closely with community organisations and groups.",,,,,97.5,8.8,South Australia,Adelaide,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Banking & Financial Services,Service with Minor Environmental Footprint
O-Bank,,1,,Taiwan,www.o-bank.com,None,"Founded in 1999, O-Bank Co., Ltd., formerly known as Industrial Bank of Taiwan (IBT), has had a deep-rooted conviction in financial inclusion and innovations. After mainly serving corporate and institutional clients for more than a decade as a boutique investment bank, the Bank formally restructured and changed its name to “O-Bank” in 2017, entering the retail banking market and aiming to provide consumers a convenient, reliable, and user-centric banking experience with the help of digital financial technology. As the first native digital bank in Taiwan, O-Bank provides innovative and inclusive financial products and services that aim to serve the underserved.",,,,,88.1,9.6,Taipei City,Taipei City,Service with Minor Environmental Footprint,250-999,Credit Provider,Financial Services,Banking & Financial Services,Service with Minor Environmental Footprint
Piscataqua Savings Bank,,1,,United States,piscataqua.com,None,Piscataqua Savings Bank has proudly served the Portsmouth community as a mutual savings bank since 1877. They are an independent community bank dedicated to personally helping individuals and families achieve their financial goals while supporting the communities where they live and work.,,,,,81.1,3.5,New Hampshire,Portsmouth,Service with Minor Environmental Footprint,10-49,Credit Provider,Financial Services,Banking and Financial Services,Service with Minor Environmental Footprint
Raiffeisen Servizi Assicurativi Srl,,1,,Italy,www.rvd.bz.it/it.html,None,"The Raiffeisen Versicherungsdienst Ltd is the insurance specialist in the Autonomous Province of Bolzano - South Tyrol (Italy). The company offers, regardless of income and financial possibilities, an optimal coverage of personal needs. Since its foundation in 1990 the company creates the conditions for the Raiffeisen Banks in South Tyrol to carry out the insurance business in favor of local private households and businesses. By specially developed insurance solutions the Raiffeisen Versicherungsdienst offers a unique insurance coverage to families in order to provide them access to non-public health services and protection against financial difficulties in the event of disability or death. In the corporate customer segment alike, the Raiffeisen Versicherungsdienst hedges small and medium-sized enterprises, craft enterprises and all other occupational categories of local minorities in the property, personal and casualty sector. Mountain farmers can make use of a customized insurance program in order to protect themselves against sever financial risks. Finally, the company’s bilingual customer assistance in the claims management presents a significant benefit for the linguistic minorities in remote areas of South Tyrol.",,,,,83.7,5.6,Bolzano,Bolzano,Service with Minor Environmental Footprint,10-49,Insurance,Financial Services,"life-, car-, legal expence-,and property insurances",Service with Minor Environmental Footprint
Alternative Bank Switzerland,,,1,Switzerland,https://www.abs.ch,None,,,,,,,,,,,,,,,
Cooperative Bank of Karditsa,,,1,Greece,https://bankofkarditsa.com/site/index.php,None,,,,,,,,,,,,,,,
Folke Sparekassen,,,1,Denmark,https://folkesparekassen.dk,None,,,,,,,,,,,,,,,
Freie Gemeinschaftsbank Genossenschaft,,,1,Switzerland,https://www.gemeinschaftsbank.ch/home,None,,,,,,,,,,,,,,,
MagNet Bank,,,1,Hungary,https://www.magnetbank.hu/en,None,,,,,,,,,,,,,,,
Merkur Resource Bank,,,1,Denmark,https://merkur.dk/privat/,None,,,,,,,,,,,,,,,
Triodos,,,1,France,https://www.triodos.fr/,None,,,,,,,,,,,,,,,
Triodos,,,1,Belgium,https://www.triodos.be/fr,None,,,,,,,,,,,,,,,
Banco Mundo Mujer (Colombia),,,1,Colombia,https://www.bmm.com.co/,,,,,,,,,,,,,,,,
Banco Popular (Honduras),,,1,Honduras,https://bancopopular.hn/,none,,,,,,,,,,,,,,,
Banco Solidario (Ecuador) ,,,1,Ecuador,https://banco-solidario.com,none,,,,,,,,,,,,,,,
Bancompartir (Colombia),,,1,Colombia,https://www.bancompartir.org/,none,,,,,,,,,,,,,,,
BancoSol (Bolivia),,,1,Bolivia,https://www.bancosol.com.bo/,none,,,,,,,,,,,,,,,
BANFONDESA (Dominican Republic),,,1,Dominican Republic,www.banfondesa.com.do,none,,,,,,,,,,,,,,,
Caissed’ économiesolidaire Desjardins (Canada),,,1,Canada,https://www.desjardins.com/ca/index.jsp,https://twitter.com/desjardinsgroup,,,,,,,,,,,,,,,
Caja Arequipa (Peru),,,1,Peru,https://www.cajaarequipa.pe/personas/ahorros/,https://twitter.com/CajaArequipa,,,,,,,,,,,,,,,
"CARD Bank, Inc. (Philippines)   ",,,1,Philippines,https://cardbankph.com/,none,,,,,,,,,,,,,,,
Centenary Bank (Uganda),,,1,Uganda,https://www.centenarybank.co.ug/,https://twitter.com/CentenaryBank,,,,,,,,,,,,,,,
Cooperativa Abaco (Peru),,,1,Peru,https://www.abaco.com.pe/,none,,,,,,,,,,,,,,,
DAI-ICHI KANGYO Credit Cooperative (Japan),,,1,Japan,www.daiichikanshin.com,none,,,,,,,,,,,,,,,
Decorah Bank and Trust Co.,,,1,United States,https://www.decorahbank.com/,,,,,,,,,Iowa,Decorah,,,,,,
Ecology Building Society (United Kingdom),,,1,United Kingdom,https://www.ecology.co.uk,https://twitter.com/ecologybs,,,,,,,,,,,,,,,
ESAF Small Finance Bank (India),,,1,India,https://www.esafbank.com/,https://twitter.com/ESAFBank,,,,,,,,,,,,,,,
Grooming Microfinance Bank (Nigeria) 1,,,1,Nigeria,https://groomingmfb.com/,none,,,,,,,,,,,,,,,
Kindred Credit Union (Canada),,,1,Canada,https://www.kindredcu.com/,https://twitter.com/KindredCU,,,,,,,,,,,,,,,
LAPO Microfinance Bank (Nigeria),,,1,Nigeria,https://www.lapo-nigeria.org/,https://twitter.com/lapo_mfb,,,,,,,,,,,,,,,
MegaBank (Ukraine) 1,,,1,Ukraine,https://www.megabank.ua,https://twitter.com/megabank_ua,,,,,,,,,,,,,,,
Muktinath Bikas Bank Ltd. (Nepal),,,1,Nepal,https://www.muktinathbank.com.np/,https://twitter.com/muktinathbank,,,,,,,,,,,,,,,
NMB Bank Limited (Nepal),,,1,Nepal,https://nmbbanknepal.com/,https://twitter.com/nmb_bank,,,,,,,,,,,,,,,
North East Small Finance Bank (India),,,1,India,https://nesfb.com/,none,,,,,,,,,,,,,,,
Opportunity Bank (Serbia),,,1,Serbia,https://www.obs.rs,none,,,,,,,,,,,,,,,
Opportunity Savings and Loans (Ghana) 1,,,1,Ghana,https://www.opportunityghana.com/ver/,https://www.opportunityghana.com/ver/,,,,,,,,,,,,,,,
"SAC Apoyo Integral, S.A. (El Salvador)",,,1,El Salvador,https://www.integral.com.sv/,none,,,,,,,,,,,,,,,
The First Microfinance Bank Afghanistan (Afghanistan),,,1,Afghanistan,https://fmfb.com.af,none,,,,,,,,,,,,,,,
The First Microfinance Bank Tajikistan (Tajikistan),,,1,Tajikistan,https://fmfb.tj,none,,,,,,,,,,,,,,,
Vancity (Canada),,,1,Canada,https://www.vancity.com,https://twitter.com/Vancity,,,,,,,,,,,,,,,
Verity CU (USA),,,1,USA,https://www.veritycu.com/,https://twitter.com/verityseattle,,,,,,,,,,,,,,,
Vision Banco (Paraguay),,,1,Paraguay,https://www.visionbanco.com/,https://twitter.com/visionbanco,,,,,,,,,,,,,,,
VSECU (Vermont State Employees Credit Union) (USA) ,,,1,United States,https://www.vsecu.com/,https://twitter.com/VSECU,,,,,,,,,,,,,,,
XacBank (Mongolia),,,1,Mongolia,https://www.xacbank.mn,https://twitter.com/xacbank,,,,,,,,,,,,,,,
